Name,Args,Returns
capitalize,,String
casefold,,String
center,Integer,String
encode,,String
endswith,String,Boolean
expandtabs,Integer,String
find,String,Integer
isalnum,,Boolean
isalpha,,Boolean
isascii,,Boolean
isdecimal,,Boolean
isdigit,,Boolean
isidentifier,,Boolean
islower,,Boolean
isnumeric,,Boolean
isprintable,,Boolean
isspace,,Boolean
istitle,,Boolean
isupper,,Boolean
lower,,String
replace,String,String
rfind,String,Integer
strip,,String
swapcase,,String
title,,String
upper,,String
zfill,Integer,String
